match_id,date,season,batting_team,opponent,venue,over,ball,bowler,batter_runs,total_runs,is_wicket,dismissal_kind,arm,bowl_type
1473484,2025-04-28,2025,Rajasthan Royals,Gujarat Titans,"Sawai Mansingh Stadium, Jaipur",8,4,Rashid Khan,1,1,False,,right,spin
1473484,2025-04-28,2025,Rajasthan Royals,Gujarat Titans,"Sawai Mansingh Stadium, Jaipur",9,1,Karim Janat,6,6,False,,right,spin
1473484,2025-04-28,2025,Rajasthan Royals,Gujarat Titans,"Sawai Mansingh Stadium, Jaipur",9,2,Karim Janat,4,4,False,,right,spin
1473484,2025-04-28,2025,Rajasthan Royals,Gujarat Titans,"Sawai Mansingh Stadium, Jaipur",9,3,Karim Janat,6,6,False,,right,spin
1473484,2025-04-28,2025,Rajasthan Royals,Gujarat Titans,"Sawai Mansingh Stadium, Jaipur",9,4,Karim Janat,4,4,False,,right,spin
1473484,2025-04-28,2025,Rajasthan Royals,Gujarat Titans,"Sawai Mansingh Stadium, Jaipur",9,5,Karim Janat,4,4,False,,right,spin
1473484,2025-04-28,2025,Rajasthan Royals,Gujarat Titans,"Sawai Mansingh Stadium, Jaipur",9,6,Karim Janat,6,6,False,,right,spin
1473484,2025-04-28,2025,Rajasthan Royals,Gujarat Titans,"Sawai Mansingh Stadium, Jaipur",10,2,Rashid Khan,6,6,False,,right,spin
1473484,2025-04-28,2025,Rajasthan Royals,Gujarat Titans,"Sawai Mansingh Stadium, Jaipur",10,3,Rashid Khan,1,1,False,,right,spin
1473484,2025-04-28,2025,Rajasthan Royals,Gujarat Titans,"Sawai Mansingh Stadium, Jaipur",11,4,M Prasidh Krishna,0,0,False,,right,pace
1473484,2025-04-28,2025,Rajasthan Royals,Gujarat Titans,"Sawai Mansingh Stadium, Jaipur",11,5,M Prasidh Krishna,0,0,True,bowled,right,pace
1473487,2025-05-01,2025,Rajasthan Royals,Mumbai Indians,"Sawai Mansingh Stadium, Jaipur",0,3,DL Chahar,0,0,False,,right,pace
1473487,2025-05-01,2025,Rajasthan Royals,Mumbai Indians,"Sawai Mansingh Stadium, Jaipur",0,4,DL Chahar,0,0,True,caught,right,pace
1473490,2025-05-04,2025,Rajasthan Royals,Kolkata Knight Riders,"Eden Gardens, Kolkata",0,3,VG Arora,4,4,False,,right,pace
1473490,2025-05-04,2025,Rajasthan Royals,Kolkata Knight Riders,"Eden Gardens, Kolkata",0,4,VG Arora,0,0,True,caught,right,pace
1473497,2025-05-18,2025,Rajasthan Royals,Punjab Kings,"Sawai Mansingh Stadium, Jaipur",1,1,M Jansen,0,0,False,,left,pace
1473497,2025-05-18,2025,Rajasthan Royals,Punjab Kings,"Sawai Mansingh Stadium, Jaipur",1,2,M Jansen,0,1,False,,left,pace
1473497,2025-05-18,2025,Rajasthan Royals,Punjab Kings,"Sawai Mansingh Stadium, Jaipur",1,3,M Jansen,6,6,False,,left,pace
1473497,2025-05-18,2025,Rajasthan Royals,Punjab Kings,"Sawai Mansingh Stadium, Jaipur",1,4,M Jansen,0,0,False,,left,pace
1473497,2025-05-18,2025,Rajasthan Royals,Punjab Kings,"Sawai Mansingh Stadium, Jaipur",1,5,M Jansen,4,4,False,,left,pace
1473497,2025-05-18,2025,Rajasthan Royals,Punjab Kings,"Sawai Mansingh Stadium, Jaipur",1,6,M Jansen,0,0,False,,left,pace
1473497,2025-05-18,2025,Rajasthan Royals,Punjab Kings,"Sawai Mansingh Stadium, Jaipur",1,7,M Jansen,6,6,False,,left,pace
1473497,2025-05-18,2025,Rajasthan Royals,Punjab Kings,"Sawai Mansingh Stadium, Jaipur",3,1,Arshdeep Singh,4,4,False,,left,pace
1473497,2025-05-18,2025,Rajasthan Royals,Punjab Kings,"Sawai Mansingh Stadium, Jaipur",3,2,Arshdeep Singh,0,0,False,,left,pace
1473497,2025-05-18,2025,Rajasthan Royals,Punjab Kings,"Sawai Mansingh Stadium, Jaipur",3,3,Arshdeep Singh,0,0,False,,left,pace
1473497,2025-05-18,2025,Rajasthan Royals,Punjab Kings,"Sawai Mansingh Stadium, Jaipur",3,4,Arshdeep Singh,0,0,False,,left,pace
1473497,2025-05-18,2025,Rajasthan Royals,Punjab Kings,"Sawai Mansingh Stadium, Jaipur",3,5,Arshdeep Singh,6,6,False,,left,pace
1473497,2025-05-18,2025,Rajasthan Royals,Punjab Kings,"Sawai Mansingh Stadium, Jaipur",3,6,Arshdeep Singh,6,6,False,,left,pace
1473497,2025-05-18,2025,Rajasthan Royals,Punjab Kings,"Sawai Mansingh Stadium, Jaipur",4,3,Harpreet Brar,4,4,False,,left,spin
1473497,2025-05-18,2025,Rajasthan Royals,Punjab Kings,"Sawai Mansingh Stadium, Jaipur",4,4,Harpreet Brar,4,4,False,,left,spin
1473497,2025-05-18,2025,Rajasthan Royals,Punjab Kings,"Sawai Mansingh Stadium, Jaipur",4,5,Harpreet Brar,0,0,True,caught,left,spin
1473500,2025-05-20,2025,Rajasthan Royals,Chennai Super Kings,"Arun Jaitley Stadium, Delhi",0,6,KK Ahmed,0,0,False,,left,pace
1473500,2025-05-20,2025,Rajasthan Royals,Chennai Super Kings,"Arun Jaitley Stadium, Delhi",1,6,A Kamboj,0,0,False,,right,pace
1473500,2025-05-20,2025,Rajasthan Royals,Chennai Super Kings,"Arun Jaitley Stadium, Delhi",3,2,A Kamboj,1,1,False,,right,pace
1473500,2025-05-20,2025,Rajasthan Royals,Chennai Super Kings,"Arun Jaitley Stadium, Delhi",4,2,KK Ahmed,4,4,False,,left,pace
1473500,2025-05-20,2025,Rajasthan Royals,Chennai Super Kings,"Arun Jaitley Stadium, Delhi",4,3,KK Ahmed,1,1,False,,left,pace
1473500,2025-05-20,2025,Rajasthan Royals,Chennai Super Kings,"Arun Jaitley Stadium, Delhi",5,3,A Kamboj,1,1,False,,right,pace
1473500,2025-05-20,2025,Rajasthan Royals,Chennai Super Kings,"Arun Jaitley Stadium, Delhi",5,6,A Kamboj,4,4,False,,right,pace
1473500,2025-05-20,2025,Rajasthan Royals,Chennai Super Kings,"Arun Jaitley Stadium, Delhi",6,2,R Ashwin,1,1,False,,right,spin
1473500,2025-05-20,2025,Rajasthan Royals,Chennai Super Kings,"Arun Jaitley Stadium, Delhi",6,5,R Ashwin,0,0,False,,right,spin
1473500,2025-05-20,2025,Rajasthan Royals,Chennai Super Kings,"Arun Jaitley Stadium, Delhi",6,6,R Ashwin,0,0,False,,right,spin
1473500,2025-05-20,2025,Rajasthan Royals,Chennai Super Kings,"Arun Jaitley Stadium, Delhi",7,2,Noor Ahmad,1,1,False,,left,spin
1473500,2025-05-20,2025,Rajasthan Royals,Chennai Super Kings,"Arun Jaitley Stadium, Delhi",7,4,Noor Ahmad,6,6,False,,left,spin
1473500,2025-05-20,2025,Rajasthan Royals,Chennai Super Kings,"Arun Jaitley Stadium, Delhi",7,5,Noor Ahmad,4,4,False,,left,spin
1473500,2025-05-20,2025,Rajasthan Royals,Chennai Super Kings,"Arun Jaitley Stadium, Delhi",7,6,Noor Ahmad,4,4,False,,left,spin
1473500,2025-05-20,2025,Rajasthan Royals,Chennai Super Kings,"Arun Jaitley Stadium, Delhi",8,2,M Pathirana,0,0,False,,right,pace
1473500,2025-05-20,2025,Rajasthan Royals,Chennai Super Kings,"Arun Jaitley Stadium, Delhi",8,3,M Pathirana,1,1,False,,right,pace
1473500,2025-05-20,2025,Rajasthan Royals,Chennai Super Kings,"Arun Jaitley Stadium, Delhi",9,3,R Ashwin,1,1,False,,right,spin
1473500,2025-05-20,2025,Rajasthan Royals,Chennai Super Kings,"Arun Jaitley Stadium, Delhi",9,6,R Ashwin,1,1,False,,right,spin
1473500,2025-05-20,2025,Rajasthan Royals,Chennai Super Kings,"Arun Jaitley Stadium, Delhi",10,1,RA Jadeja,1,1,False,,left,spin
1473500,2025-05-20,2025,Rajasthan Royals,Chennai Super Kings,"Arun Jaitley Stadium, Delhi",10,3,RA Jadeja,6,6,False,,left,spin
1473500,2025-05-20,2025,Rajasthan Royals,Chennai Super Kings,"Arun Jaitley Stadium, Delhi",10,4,RA Jadeja,0,0,False,,left,spin
1473500,2025-05-20,2025,Rajasthan Royals,Chennai Super Kings,"Arun Jaitley Stadium, Delhi",10,5,RA Jadeja,6,6,False,,left,spin
